Model,CV MAE (mean),CV MAE (std),CV RMSE (mean),CV RMSE (std),CV R2 (mean),CV R2 (std)
Linear Regression,0.5062006127989006,0.0657090905100154,2.0819994099927785,0.40062122561522745,0.7171003113779442,0.07310024699417018
Ridge,0.5062562114664306,0.06572056714693263,2.0819900825007958,0.4006376293755018,0.7171025587080561,0.07310475657355288
Random Forest,1.1562042318972956,0.06529199274334006,2.399352971298837,0.3350143292501262,0.6258387551951616,0.05751953906924703
SVR (RBF),0.5945491504959336,0.07468928234035806,2.1282723398112515,0.39822532955037104,0.7045627133023938,0.07364886073704932
