Model,CV MAE (mean),CV MAE (std),CV RMSE (mean),CV RMSE (std),CV R2 (mean),CV R2 (std)
Linear Regression,0.5062006127989018,0.06570909051001532,2.081999409992779,0.4006212256152275,0.717100311377944,0.07310024699417017
Ridge,0.5062562114664304,0.06572056714693274,2.081990082500796,0.40063762937550174,0.7171025587080561,0.07310475657355285
Random Forest,1.1562042318972956,0.06529199274333991,2.399352971298837,0.3350143292501261,0.6258387551951616,0.05751953906924703
SVR (RBF),0.5945491504959337,0.07468928234035806,2.128272339811251,0.39822532955037104,0.7045627133023938,0.07364886073704932
